fecha_oferta_dia;trafico
2022-01-02;1
2022-01-03;4
2022-01-04;1
2022-01-05;1
2022-01-07;3
2022-01-08;7
2022-01-09;4
2022-01-10;4
2022-01-11;8
2022-01-13;14
2022-01-14;12
2022-01-15;15
2022-01-16;8
2022-01-17;25
2022-01-18;20
2022-01-20;20
2022-01-21;9
2022-01-22;17
2022-01-23;19
2022-01-24;15
2022-01-25;15
2022-01-26;2
2022-01-27;20
2022-01-28;17
2022-01-29;15
2022-01-30;10
2022-01-31;25
2022-02-01;12
2022-02-02;1
2022-02-03;21
2022-02-04;41
2022-02-05;28
2022-02-06;28
2022-02-07;27
2022-02-08;15
2022-02-09;2
2022-02-10;22
2022-02-11;14
2022-02-12;32
2022-02-13;29
2022-02-14;29
2022-02-15;16
2022-02-17;28
2022-02-18;39
2022-02-19;29
2022-02-20;34
2022-02-21;25
2022-02-22;19
2022-02-24;25
2022-02-25;26
2022-02-26;30
2022-02-27;22
2022-02-28;22
2022-03-02;22
2022-03-03;20
2022-03-04;20
2022-03-05;23
2022-03-06;24
2022-03-07;17
2022-03-08;3
2022-03-09;24
2022-03-10;17
2022-03-11;19
2022-03-12;25
2022-03-13;13
2022-03-14;3
2022-03-15;3
2022-03-16;9
2022-03-18;1
2022-03-19;2
2022-03-20;1
2022-03-21;2
2022-03-22;1
2022-03-23;2
2022-03-24;2
2022-03-25;3
2022-03-26;3
2022-03-27;2
2022-03-28;2
2022-03-29;3
2022-04-01;4
2022-04-02;3
2022-04-03;1
2022-04-04;2
2022-04-05;2
2022-04-08;3
2022-04-09;3
2022-04-10;1
2022-04-12;3
2022-04-13;2
2022-04-14;1
2022-04-15;2
2022-04-16;1
2022-04-17;3
2022-04-20;1
2022-04-21;4
2022-04-22;2
2022-04-23;3
2022-04-24;1
2022-04-27;2
2022-04-29;3
2022-04-30;4
2022-05-03;1
2022-05-04;3
2022-05-05;1
2022-05-06;2
2022-05-07;4
2022-05-08;5
2022-05-11;10
2022-05-12;16
2022-05-13;17
2022-05-14;15
2022-05-15;17
2022-05-16;6
2022-05-17;3
2022-05-18;16
2022-05-19;21
2022-05-20;17
2022-05-21;24
2022-05-22;20
2022-05-23;10
2022-05-24;1
2022-05-25;29
2022-05-26;31
2022-05-27;18
2022-05-28;28
2022-05-29;28
2022-05-30;12
2022-06-01;33
2022-06-02;34
2022-06-03;41
2022-06-04;39
2022-06-05;35
2022-06-06;24
2022-06-07;2
2022-06-08;38
2022-06-09;27
2022-06-10;30
2022-06-11;38
2022-06-12;33
2022-06-13;26
2022-06-14;2
2022-06-15;50
2022-06-16;37
2022-06-17;47
2022-06-18;55
2022-06-19;49
2022-06-20;26
2022-06-21;4
2022-06-22;44
2022-06-23;28
2022-06-24;28
2022-06-25;49
2022-06-26;40
2022-06-27;22
2022-06-28;3
2022-06-29;51
2022-06-30;52
2022-07-01;53
2022-07-02;44
2022-07-03;48
2022-07-04;25
2022-07-05;2
2022-07-06;51
2022-07-07;45
2022-07-08;70
2022-07-09;58
2022-07-10;39
2022-07-11;25
2022-07-12;1
2022-07-13;36
2022-07-14;52
2022-07-15;58
2022-07-16;54
2022-07-17;48
2022-07-18;16
2022-07-19;1
2022-07-20;66
2022-07-21;50
2022-07-22;46
2022-07-23;47
2022-07-24;52
2022-07-25;19
2022-07-26;1
2022-07-27;44
2022-07-28;46
2022-07-29;35
2022-07-30;46
2022-07-31;37
2022-08-01;8
2022-08-02;1
2022-08-03;34
2022-08-04;40
2022-08-05;28
2022-08-06;24
2022-08-07;38
2022-08-08;12
2022-08-09;1
2022-08-10;34
2022-08-11;26
2022-08-12;27
2022-08-13;32
2022-08-14;36
2022-08-17;36
2022-08-18;34
2022-08-19;37
2022-08-20;38
2022-08-21;26
2022-08-22;13
2022-08-23;2
2022-08-24;15
2022-08-25;29
2022-08-26;31
2022-08-27;28
2022-08-28;27
2022-08-29;12
2022-08-30;5
2022-08-31;30
2022-09-01;32
2022-09-02;47
2022-09-03;34
2022-09-04;46
2022-09-05;20
2022-09-06;2
2022-09-07;33
2022-09-08;38
2022-09-09;46
2022-09-10;27
2022-09-11;25
2022-09-12;20
2022-09-14;38
2022-09-15;35
2022-09-16;45
2022-09-17;40
2022-09-18;30
2022-09-19;26
2022-09-20;1
2022-09-21;35
2022-09-22;47
2022-09-23;42
2022-09-24;37
2022-09-25;43
2022-09-26;20
2022-09-27;4
2022-09-28;47
2022-09-29;23
2022-09-30;37
2022-10-01;40
2022-10-02;31
2022-10-03;21
2022-10-04;6
2022-10-05;37
2022-10-06;30
2022-10-07;40
2022-10-08;42
2022-10-09;23
2022-10-10;16
2022-10-11;2
2022-10-12;2
2022-10-13;25
2022-10-14;27
2022-10-15;67
2022-10-16;60
2022-10-17;40
2022-10-18;3
2022-10-19;33
2022-10-20;37
2022-10-21;43
2022-10-22;35
2022-10-23;37
2022-10-24;12
2022-10-25;2
2022-10-26;33
2022-10-27;25
2022-10-28;40
2022-10-29;30
2022-10-30;33
2022-10-31;15
2022-11-02;13
2022-11-03;25
2022-11-04;19
2022-11-05;37
2022-11-06;25
2022-11-07;14
2022-11-08;3
2022-11-09;36
2022-11-10;28
2022-11-11;29
2022-11-12;39
2022-11-13;34
2022-11-14;27
2022-11-15;10
2022-11-16;31
2022-11-17;27
2022-11-18;65
2022-11-19;61
2022-11-20;59
2022-11-21;38
2022-11-22;5
2022-11-23;38
2022-11-24;19
2022-11-25;23
2022-11-26;32
2022-11-27;35
2022-11-28;19
2022-11-29;1
2022-11-30;28
2022-12-01;34
2022-12-02;27
2022-12-03;26
2022-12-04;32
2022-12-05;27
2022-12-06;2
2022-12-07;16
2022-12-08;1
2022-12-09;30
2022-12-10;40
2022-12-11;48
2022-12-12;36
2022-12-13;3
2022-12-14;63
2022-12-15;41
2022-12-16;38
2022-12-17;30
2022-12-18;35
2022-12-19;25
2022-12-20;3
2022-12-21;27
2022-12-22;23
2022-12-23;33
2022-12-24;5
2022-12-26;6
2022-12-27;8
2022-12-28;27
2022-12-29;10
2022-12-30;21
2022-12-31;4
2023-01-02;1
2023-01-04;16
2023-01-05;14
2023-01-07;20
2023-01-08;19
2023-01-09;2
2023-01-11;21
2023-01-12;13
2023-01-13;12
2023-01-14;14
2023-01-15;15
2023-01-16;10
2023-01-18;12
2023-01-19;10
2023-01-20;12
2023-01-21;13
2023-01-22;11
2023-01-23;4
2023-01-24;13
2023-01-25;6
2023-01-26;11
2023-01-27;8
2023-01-28;10
2023-01-29;3
2023-01-30;2
2023-02-01;4
2023-02-02;12
2023-02-03;12
2023-02-04;5
2023-02-05;5
2023-02-06;7
2023-02-08;6
2023-02-09;4
2023-02-10;13
2023-02-11;6
2023-02-12;2
2023-02-13;5
2023-02-15;8
2023-02-16;1
2023-02-17;6
2023-02-18;3
2023-02-19;4
2023-02-22;7
2023-02-23;5
2023-02-24;9
2023-02-25;2
2023-02-26;4
2023-02-27;2
2023-03-01;2
2023-03-02;6
2023-03-03;4
2023-03-04;3
2023-03-05;3
2023-03-06;3
2023-03-08;12
2023-03-09;7
2023-03-10;7
2023-03-11;3
2023-03-12;5
2023-03-13;5
2023-03-15;6
2023-03-16;6
2023-03-17;33
2023-03-18;7
2023-03-19;6
2023-03-20;13
2023-03-22;5
2023-03-23;5
2023-03-24;7
2023-03-25;4
2023-03-26;3
2023-03-27;5
2023-03-29;5
2023-03-30;6
2023-03-31;5
2023-04-01;1
2023-04-03;2
2023-04-05;3
2023-04-06;4
2023-04-07;7
2023-04-08;7
2023-04-09;7
2023-04-10;3
2023-04-11;4
2023-04-12;7
2023-04-13;8
2023-04-14;4
2023-04-15;8
2023-04-16;6
2023-04-17;3
2023-04-19;4
2023-04-20;5
2023-04-21;11
2023-04-22;6
2023-04-23;2
2023-04-24;1
2023-04-26;4
2023-04-27;2
2023-04-28;7
2023-04-29;6
2023-04-30;2
2023-05-03;2
2023-05-04;1
2023-05-05;8
2023-05-06;30
2023-05-07;24
2023-05-08;13
2023-05-10;3
2023-05-11;5
2023-05-12;7
2023-05-13;7
2023-05-14;1
2023-05-15;1
2023-05-17;8
2023-05-19;3
2023-05-20;3
2023-05-21;2
2023-05-22;3
2023-05-24;7
2023-05-25;1
2023-05-26;4
2023-05-27;7
2023-05-28;4
2023-05-29;2
2023-05-31;5
2023-06-01;4
2023-06-02;3
2023-06-03;7
2023-06-04;7
2023-06-05;2
2023-06-06;1
2023-06-07;1
2023-06-08;6
2023-06-09;3
2023-06-10;5
2023-06-11;5
2023-06-14;1
2023-06-15;4
2023-06-16;4
2023-06-17;8
2023-06-18;5
2023-06-19;4
2023-06-21;5
2023-06-22;3
2023-06-23;3
2023-06-24;4
2023-06-25;2
2023-06-28;4
2023-06-29;2
2023-06-30;3
2023-07-01;1
2023-07-02;6
2023-07-03;2
2023-07-05;4
2023-07-06;5
2023-07-07;4
2023-07-08;3
2023-07-09;8
2023-07-10;3
2023-07-12;4
2023-07-13;5
2023-07-14;3
2023-07-15;8
2023-07-16;7
2023-07-17;1
